"Family","VCC","Logic Level","Propagation","Minimum","Typical","Maximum","VIH","VIL","VOH","VOL","Manufacturer"
"LVC",1.8,,"tPD",1.5,6.5,13.8,1.2,0.6,1.6,0.2,"Nexperia"
"LVC",2.7,,"tPD",1.5,3.5,5.6,1.7,0.7,2.5,0.2,"Nexperia"
"LVC",3.3,"TTL","tPD",1.0,2.9,5.1,2.0,0.8,3.1,0.2,"Nexperia"
"LVC",1.8,,"tEN",1.8,7.7,16.0,,,,,"Nexperia"
"LVC",2.7,,"tEN",1.5,4.3,7.5,,,,,"Nexperia"
"LVC",3.3,"TTL","tEN",1.0,3.5,7.0,,,,,"Nexperia"
"LVC",1.8,,"tDIS",3.0,4.9,10.3,,,,,"Nexperia"
"LVC",2.7,,"tDIS",1.5,3.7,7.0,,,,,"Nexperia"
"LVC",3.3,"TTL","tDIS",1.0,3.3,6.0,,,,,"Nexperia"
"HCT",4.5,,"tPD",,15.0,28.0,1.8,0.7,4.4,0.1,"Nexperia"
"HCT",5.0,"TTL","tPD",,12.0,22.4,2.0,0.8,4.9,0.1,"Nexperia"
"HCT",4.5,,"tEN",,21.0,35.0,,,,,"Nexperia"
"HCT",5.0,"TTL","tEN",,17.0,28.0,,,,,"Nexperia"
"HCT",4.5,,"tDIS",,21.0,35.0,,,,,"Nexperia"
"HCT",5.0,"TTL","tDIS",,17.0,28.0,,,,,"Nexperia"
"AHCT",5.0,"TTL","tPD",1.0,3.5,5.5,2.0,0.8,4.4,0.1,"Nexperia"
"AHCT",5.0,"TTL","tEN",1.0,4.0,7.0,,,,,"Nexperia"
"AHCT",5.0,"TTL","tDIS",1.0,5.0,7.0,,,,,"Nexperia"
"LVX",2.0,,"tPD",1.0,7.0,,1.5,0.5,1.9,0.1,"Onsemi"
"LVX",3.0,"TTL","tPD",1.0,4.2,,2.0,0.8,2.9,0.1,"Onsemi"
"LVX",3.6,,"tPD",1.0,3.5,,2.4,1.1,3.3,0.1,"Onsemi"
"LVX",2.0,,"tEN",1.0,10.0,,,,,,"Onsemi"
"LVX",3.0,"TTL","tEN",1.0,6.0,,,,,,"Onsemi"
"LVX",3.6,,"tEN",1.0,6.8,,,,,,"Onsemi"
"LVX",2.0,,"tDIS",1.0,17.0,,,,,,"Onsemi"
"LVX",3.0,"TTL","tDIS",1.0,8.5,,,,,,"Onsemi"
"LVX",3.6,,"tDIS",1.0,6.0,,,,,,"Onsemi"
"LVT",2.7,"TTL","tPD",,2.6,3.9,2.0,0.7,2.5,0.2,"Texas Instruments"
"LVT",3.3,,"tPD",1.1,2.4,3.5,2.2,0.8,3.1,0.2,"Texas Instruments"
"LVT",2.7,"TTL","tEN",,4.0,5.9,,,,,"Texas Instruments"
"LVT",3.3,,"tEN",1.5,3.6,5.3,,,,,"Texas Instruments"
"LVT",2.7,"TTL","tDIS",,4.1,5.9,,,,,"Texas Instruments"
"LVT",3.3,,"tDIS",1.5,3.9,5.6,,,,,"Texas Instruments"
"ALS",5.0,"TTL","tPD",4.0,7.0,14.0,2.0,0.8,3.0,0.3,"Texas Instruments"
"ALS",5.0,"TTL","tEN",8.0,10.0,20.0,,,,,"Texas Instruments"
"ALS",5.0,"TTL","tDIS",2.0,6.0,12.0,,,,,"Texas Instruments"
"LS",5.0,"TTL","tPD",,9.0,18.0,2.0,0.6,3.4,0.3,"Texas Instruments"
"LS",5.0,"TTL","tEN",,25.0,38.0,,,,,"Texas Instruments"
"LS",5.0,"TTL","tDIS",,18.0,29.0,,,,,"Texas Instruments"
"FCT",5.0,"TTL","tPD",1.5,2.5,4.1,2.0,0.8,3.3,0.3,"Texas Instruments"
"FCT",5.0,"TTL","tEN",1.5,3.7,5.8,,,,,"Texas Instruments"
"FCT",5.0,"TTL","tDIS",1.5,2.7,5.2,,,,,"Texas Instruments"
"F",5.0,"TTL","tPD",1.5,3.3,6.0,2.0,0.8,3.3,0.4,"Texas Instruments"
"F",5.0,"TTL","tEN",3.5,6.1,9.5,,,,,"Texas Instruments"
"F",5.0,"TTL","tDIS",1.5,3.4,6.5,,,,,"Texas Instruments"
"ALVC",1.8,,"tPD",1.0,3.0,4.6,1.1,0.2,1.6,0.2,"Nexperia"
"ALVC",2.7,,"tPD",1.0,2.5,3.3,1.7,0.7,2.5,0.2,"Nexperia"
"ALVC",3.3,"TTL","tPD",1.0,2.3,3.0,2.0,0.8,3.1,0.2,"Nexperia"
"ALVC",1.8,,"tEN",1.0,4.2,7.5,,,,,"Nexperia"
"ALVC",2.7,,"tEN",1.0,3.7,5.8,,,,,"Nexperia"
"ALVC",3.3,"TTL","tEN",1.0,3.3,4.9,,,,,"Nexperia"
"ALVC",1.8,,"tDIS",1.0,4.8,7.5,,,,,"Nexperia"
"ALVC",2.7,,"tDIS",1.0,3.1,4.8,,,,,"Nexperia"
"ALVC",3.3,"TTL","tDIS",1.0,2.9,4.6,,,,,"Nexperia"
"ABT",5.0,"TTL","tPLH",1.0,2.6,4.1,2.0,0.8,3.0,0.4,"Texas Instruments"
"ABT",5.0,"TTL","tPHL",1.0,2.9,4.2,,,,,"Texas Instruments"
"ABT",5.0,"TTL","tPZH",1.1,3.1,4.8,,,,,"Texas Instruments"
"ABT",5.0,"TTL","tPZL",2.1,4.4,5.9,,,,,"Texas Instruments"
"ABT",5.0,"TTL","tPHZ",2.1,5.1,6.6,,,,,"Texas Instruments"
"ABT",5.0,"TTL","tPLZ",1.7,4.7,6.2,,,,,"Texas Instruments"
"VCX",1.8,,"tPD",1.5,7.1,8.4,1.2,0.4,1.6,0.2,"Toshiba"
"VCX",2.5,,"tPD",0.8,2.8,4.2,1.6,0.7,2.3,0.2,"Toshiba"
"VCX",3.3,"TTL","tPD",0.6,2.3,3.5,2.0,0.8,3.1,0.2,"Toshiba"
"VCX",1.8,,"tEN",1.5,6.5,9.8,,,,,"Toshiba"
"VCX",2.5,,"tEN",0.8,3.6,5.5,,,,,"Toshiba"
"VCX",3.3,"TTL","tEN",0.6,3.0,4.5,,,,,"Toshiba"
"VCX",1.8,,"tDIS",1.5,4.3,6.5,,,,,"Toshiba"
"VCX",2.5,,"tDIS",0.8,2.4,3.6,,,,,"Toshiba"
"VCX",3.3,"TTL","tDIS",0.6,2.2,3.3,,,,,"Toshiba"
"VHCT",5.0,"TTL","tPD",1.0,3.5,5.5,2.0,0.8,4.5,0.1,"Nexperia"
"VHCT",5.0,"TTL","tEN",1.0,4.0,7.0,,,,,"Nexperia"
"VHCT",5.0,"TTL","tDIS",1.0,5.0,7.0,,,,,"Nexperia"
"LCX",1.8,,"tPD",,16.7,25.0,1.2,0.6,1.6,0.2,"Toshiba"
"LCX",2.7,,"tPD",,5.0,7.5,1.7,0.7,2.5,0.2,"Toshiba"
"LCX",3.3,"TTL","tPD",1.5,4.3,6.5,2.0,0.8,3.1,0.2,"Toshiba"
"LCX",1.8,,"tEN",,22.7,34.0,,,,,"Toshiba"
"LCX",2.7,,"tEN",,6.3,9.5,,,,,"Toshiba"
"LCX",3.3,"TTL","tEN",1.5,5.7,8.5,,,,,"Toshiba"
"LCX",1.8,,"tDIS",,21.3,32.0,,,,,"Toshiba"
"LCX",2.7,,"tDIS",,5.7,8.5,,,,,"Toshiba"
"LCX",3.3,"TTL","tDIS",1.5,5.0,7.5,,,,,"Toshiba"
